업소명,업종,업태,도로명주소
강남동골목원조닭갈비,일반음식점,한식,강원특별자치도 춘천시 충혼길52번길 20-4(온의동)
강남제비,일반음식점,한식,강원특별자치도 춘천시 동내면 춘천순환로 79(1층)
강남참숯불구이,일반음식점,한식,강원특별자치도 춘천시 칠전서길 38-15(칠전동)
강남해장국,일반음식점,한식,강원특별자치도 춘천시 중앙로 170(근화동)
강릉집,일반음식점,한식,강원특별자치도 춘천시 서부대성로 46(요선동)
강바람식당,일반음식점,한식,강원특별자치도 춘천시 남산면 북한강변길 910-26(2리)
강변민박,일반음식점,한식,강원특별자치도 춘천시 남면 한덕발산길 15(1층)
강변식당,일반음식점,한식,강원특별자치도 춘천시 사북면 화악지암길 785
강원감자탕,일반음식점,한식,강원특별자치도 춘천시 남산면 김유정로 322
강원녹두삼계탕,일반음식점,한식,강원특별자치도 춘천시 동내면 거두택지길 41-38(1층)
강원대학교,일반음식점,분식,강원특별자치도 춘천시 강원대학길 1(강원대학교 효자동)
강원대학교병원장례식장,일반음식점,한식,강원특별자치도 춘천시 백령로 156(3동 1층 효자동)
강원일보구내식당,일반음식점,한식,강원특별자치도 춘천시 중앙로 23(중앙로1가)
강원푸드,일반음식점,한식,강원특별자치도 춘천시 동내면 춘천순환로72번길 33-4(1층)
강원해장국(본점),일반음식점,한식,강원특별자치도 춘천시 서부대성로48번길 11(요선동)
강촌IC식당,일반음식점,한식,강원특별자치도 춘천시 남면 소주고개로 67(1층)
강촌걸리버여행기,일반음식점,한식,강원특별자치도 춘천시 남산면 북한강변길 910-44
강촌골능이능이백숙,일반음식점,한식,강원특별자치도 춘천시 남산면 소주고개로 680-40(1층)
강촌관광농원,일반음식점,한식,강원특별자치도 춘천시 남산면 오양골길 125
강촌막국수,일반음식점,한식,강원특별자치도 춘천시 남산면 강촌로 62-1
강촌만남의광장,일반음식점,한식,강원특별자치도 춘천시 남산면 강촌로 96(새마을금고강촌지점)
강촌명물탕,일반음식점,한식,강원특별자치도 춘천시 남산면 소주고개로 660-2
강촌사골칼국수,일반음식점,한식,강원특별자치도 춘천시 남산면 강촌로 60(1층)
강촌스넥,일반음식점,분식,강원특별자치도 춘천시 남산면 강촌로 60-1
강촌스타밸리,일반음식점,한식,강원특별자치도 춘천시 남산면 갯골길 112-11
강촌시골밥집,일반음식점,한식,강원특별자치도 춘천시 남산면 강촌로 124
강촌식당,일반음식점,한식,강원특별자치도 춘천시 남산면 강촌로 56
강촌이모네,일반음식점,한식,강원특별자치도 춘천시 남산면 강촌구곡길 51(1층)
강촌토종닭갈비,일반음식점,한식,강원특별자치도 춘천시 남산면 강촌로 97
강촌힐스,일반음식점,한식,"강원특별자치도 춘천시 서면 경춘로 584(1층,2층)"
개코네풍천장어,일반음식점,한식,강원특별자치도 춘천시 보안길 12(후평동)
갤러리팜관광농원,일반음식점,한식,강원특별자치도 춘천시 북산면 신샘밭로 1158
갯마을블루스,일반음식점,한식,강원특별자치도 춘천시 지석로 74-11(1층 C03호 퇴계동)
갱스터떡볶이 춘천점,일반음식점,분식,강원특별자치도 춘천시 동면 춘천로449번길 12(1층)
갱스터펍앤피자,일반음식점,한식,강원특별자치도 춘천시 영서로2756번길 16(우두동)
거두리닭갈비,일반음식점,한식,강원특별자치도 춘천시 동내면 외솔길19번길 80-42(1층)
거두리박대감,일반음식점,한식,강원특별자치도 춘천시 동내면 춘천순환로72번길 41(1층)
거두리밥상,일반음식점,한식,강원특별자치도 춘천시 동내면 춘천순환로 61-17
거두리부자동태찜,일반음식점,한식,강원특별자치도 춘천시 퇴계로93번길 8(1층 104호 퇴계동)
거두리시골밥상,일반음식점,한식,강원특별자치도 춘천시 동내면 거두택지길4번길 34-1
거두리청국장,일반음식점,한식,강원특별자치도 춘천시 동내면 거두단지길 6-8
거두리해물짬뽕,일반음식점,한식,강원특별자치도 춘천시 동내면 거두택지길4번길 19(1층)
거두분식,일반음식점,분식,강원특별자치도 춘천시 동내면 거두택지길 24(103호)
거두생갈비,일반음식점,한식,강원특별자치도 춘천시 동내면 거두택지길 41-11(1층 101호)
거두촌두부,일반음식점,한식,강원특별자치도 춘천시 신북읍 율문길 85(1층)
거진명품코다리,일반음식점,한식,강원특별자치도 춘천시 춘천로 390(1층 후평동)
검봉산칡국수,일반음식점,한식,강원특별자치도 춘천시 남산면 강촌구곡길 164-6
결,일반음식점,한식,강원특별자치도 춘천시 후만로 79(후평동)
경강막국수,일반음식점,한식,강원특별자치도 춘천시 남산면 서백길 62-4
경강손두부,일반음식점,한식,"강원특별자치도 춘천시 남산면 서백길 28(지하1,1층)"
경복궁개성손만두요리전문점,일반음식점,한식,강원특별자치도 춘천시 동면 춘천순환로 420(1층)
경성푸드빌,일반음식점,분식,강원특별자치도 춘천시 벌말길 104(1층 석사동)
경성한우국밥,일반음식점,한식,강원특별자치도 춘천시 동면 만천로 118(1층)
경춘식당,일반음식점,한식,강원특별자치도 춘천시 퇴계로 24(1층 퇴계동)
고기싸롱후평점,일반음식점,한식,강원특별자치도 춘천시 춘천로 324(2층 후평동)
고깃구녕,일반음식점,한식,강원특별자치도 춘천시 우석로79번길 16-19(석사동)
고담한정식,일반음식점,한식,강원특별자치도 춘천시 동내면 고은길 23
고대분식,일반음식점,분식,"강원특별자치도 춘천시 중앙로67번길 18(4동 1층 4110호 죽림동, 브라운가)"
고래,일반음식점,한식,강원특별자치도 춘천시 백령로 81(1층 효자동)
고래밥상,일반음식점,한식,강원특별자치도 춘천시 신북읍 신북로 38(1층)
고래뱃속,일반음식점,분식,강원특별자치도 춘천시 후석로 263(1층 후평동)
고려남촌닭갈비,일반음식점,한식,강원특별자치도 춘천시 금강로62번길 15(조양동)
고려산장,일반음식점,한식,강원특별자치도 춘천시 북산면 오봉산길 697
고모네삼계탕,일반음식점,한식,강원특별자치도 춘천시 신동면 순환대로 32(1층)
고미고미,일반음식점,한식,강원특별자치도 춘천시 근화길15번길 17(1층 근화동)
고봉민김밥인춘천석사점,일반음식점,분식,"강원특별자치도 춘천시 퇴계농공로 20(101호 석사동, 종로타워)"
고봉삼계탕춘천점,일반음식점,한식,강원특별자치도 춘천시 춘천로 12(2층 퇴계동)
고봉집,일반음식점,한식,"강원특별자치도 춘천시 두하길 22(상가동 1층 104호 효자동, 일성아파트)"
고산가,일반음식점,한식,강원특별자치도 춘천시 동내면 너부래길 7
고신,일반음식점,한식,강원특별자치도 춘천시 공지로 248(1층 효자동)
고씨네카레강원대본점,일반음식점,한식,강원특별자치도 춘천시 백령로138번길 54(2층 효자동)
고우국밥,일반음식점,한식,강원특별자치도 춘천시 남춘천새길41번길 13-2(효자동)
고은가든,일반음식점,한식,강원특별자치도 춘천시 동내면 고은길 161
고은밥상,일반음식점,한식,강원특별자치도 춘천시 동내면 고은길 53(1층)
고을노적,일반음식점,한식,강원특별자치도 춘천시 남면 충효로 1358
고창풍천장어,일반음식점,한식,강원특별자치도 춘천시 남산면 소주고개로 459-4
고탄막국수,일반음식점,한식,강원특별자치도 춘천시 사북면 춘화로 495-2
고향마차,일반음식점,한식,"강원특별자치도 춘천시 효자로 62(효자동, 2)"
고향산천,일반음식점,한식,강원특별자치도 춘천시 신북읍 신북로 246
고향스넥,일반음식점,분식,강원특별자치도 춘천시 봉의산길22번길 30-3(교동)
고향엄마네손맛,일반음식점,한식,강원특별자치도 춘천시 전원길 1(1층 운교동)
고향전집,일반음식점,분식,강원특별자치도 춘천시 석사길5번길 37(1층 석사동)
곤지암할매소머리국밥,일반음식점,분식,강원특별자치도 춘천시 신동면 김유정로 1417(A동 1층 102호)
곤지암할매소머리국밥,일반음식점,한식,강원특별자치도 춘천시 후석로 299(후평동)
골목손두부,일반음식점,한식,강원특별자치도 춘천시 공지로439번길 16-4(근화동)
골목손팥칼국수,일반음식점,한식,강원특별자치도 춘천시 수풍골길13번길 11-1(1층 후평동)
골목전집,일반음식점,한식,강원특별자치도 춘천시 서부대성로48번길 24-1(1층 요선동)
골목집,일반음식점,한식,강원특별자치도 춘천시 공지로 162-3(1층 석사동)
골목집,일반음식점,한식,강원특별자치도 춘천시 동내면 영서로 1828-7(1층)
곰바위,일반음식점,한식,강원특별자치도 춘천시 신북읍 율문길 95
곰배령,일반음식점,한식,강원특별자치도 춘천시 춘천로 19(1층 온의동)
곰소젓갈밥상,일반음식점,한식,강원특별자치도 춘천시 닥나무길 17(1층 효자동)
곰실보리밥집,일반음식점,한식,강원특별자치도 춘천시 동내면 동내로 164
곰이포차,일반음식점,한식,"강원특별자치도 춘천시 보안길 50(후평동, 1층)"
곱곱창구이,일반음식점,한식,강원특별자치도 춘천시 동내면 거두택지길26번길 20
곱이곱다 춘천점,일반음식점,한식,강원특별자치도 춘천시 퇴계로 175(1층 퇴계동)
곱창킬러본점,일반음식점,한식,강원특별자치도 춘천시 효제길 33(효자동)
공심원,일반음식점,한식,강원특별자치도 춘천시 남산면 남이섬길 1(2층)
공원미가,일반음식점,한식,강원특별자치도 춘천시 석사길5번길 19(1층 석사동)
공원삼겹살,일반음식점,한식,강원특별자치도 춘천시 동내면 춘천순환로72번길 50(1층)
공지천왕갈비스무숲점,일반음식점,한식,강원특별자치도 춘천시 스무숲길 24(1층 석사동)
곽만근갈비탕,일반음식점,한식,강원특별자치도 춘천시 퇴계농공로 13(1층 석사동)
광림공원(주),일반음식점,한식,강원특별자치도 춘천시 동산면 종자리로 331-50
광산골식당,일반음식점,분식,강원특별자치도 춘천시 사북면 말고개길 361(1층)
광수생각,일반음식점,한식,강원특별자치도 춘천시 옛경춘로 808(1층 삼천동)
광주리,일반음식점,한식,강원특별자치도 춘천시 서면 박사로 923
광천순대,일반음식점,한식,강원특별자치도 춘천시 동내면 춘천순환로72번길 40-1
광판순두부,일반음식점,한식,강원특별자치도 춘천시 남산면 김유정로 167
광판팔뚝김밥김유정역점,일반음식점,분식,강원특별자치도 춘천시 신동면 김유정로 1402(1층)
광판팔뚝김밥만천점,일반음식점,분식,"강원특별자치도 춘천시 동면 만천양지길 60(1층 102,103호)"
광판팔뚝김밥엔타점,일반음식점,분식,강원특별자치도 춘천시 후석로 120(춘천농협농수산물종합유통센터 A동 1층 석사동)
광판팔뚝김밥우두점,일반음식점,분식,강원특별자치도 춘천시 충열로 1-16(1층 좌측첫번째호 우두동)
광판팔뚝김밥퇴계점,일반음식점,분식,강원특별자치도 춘천시 안마산로 42(1층 퇴계동)
교동부대찌개,일반음식점,한식,"강원특별자치도 춘천시 삭주로 80(교동, 지하1층)"
교원예움강원장례식장,일반음식점,한식,강원특별자치도 춘천시 동내면 순환대로 877(1층)
구곡촌두부,일반음식점,한식,강원특별자치도 춘천시 남산면 강촌구곡길 78(1리)
구곡휴게소,일반음식점,한식,강원특별자치도 춘천시 남산면 강촌구곡길 259
구명동닭갈비,일반음식점,한식,강원특별자치도 춘천시 춘주로92번길 29-4(온의동)
구봉농원,일반음식점,한식,강원특별자치도 춘천시 동면 만군길 155
구봉산카페(CAFE)편의점,일반음식점,분식,강원특별자치도 춘천시 동면 순환대로 1154-115
구울래머글래,일반음식점,한식,강원특별자치도 춘천시 대양당길9번길 15(1층 후평동)
구이본색,일반음식점,한식,강원특별자치도 춘천시 동내면 외솔길 45(1층)
구정막국수,일반음식점,한식,강원특별자치도 춘천시 구마니1길 36-2(삼천동)
국민낙곱새춘천점,일반음식점,한식,"강원특별자치도 춘천시 방송길 77(상가동 1층 1110,1140호 온의동, 춘천 센트럴타워 푸르지오)"
국민순대국춘천점,일반음식점,한식,강원특별자치도 춘천시 효석로9번길 18(1층 101호 효자동)
국수나라,일반음식점,분식,강원특별자치도 춘천시 삭주로 130(후평동)
국수나무롯데캐슬점,일반음식점,분식,"강원특별자치도 춘천시 방송길 70(117동 101호 온의동, 온의 롯데캐슬 스카이클래스, 좌측)"
국수나무춘천명동점,일반음식점,분식,강원특별자치도 춘천시 중앙로 63-1(1층 중앙로2가)
국수나무춘천우두점,일반음식점,분식,강원특별자치도 춘천시 영서로 2767(1층 우두동)
국수나무춘천장학점,일반음식점,분식,강원특별자치도 춘천시 동면 춘천로 451-1(1층)
국수나무춘천후평점,일반음식점,분식,강원특별자치도 춘천시 보안길 70-2(후평동)
국수나무한숲시티점,일반음식점,분식,강원특별자치도 춘천시 안마산로 113(e편한세상 춘천 한숲시티 상가B동 1층 B2-108호 퇴계동)
국수닭,일반음식점,한식,강원특별자치도 춘천시 남춘로36번길 48(퇴계동)
국수사랑,일반음식점,분식,"강원특별자치도 춘천시 영서로 2922(401동 1층 103호 사농동, 춘천 뉴시티 코아루)"
국시집,일반음식점,한식,강원특별자치도 춘천시 명동길29번길 4-26(1층 죽림동)
군자숯불닭갈비,일반음식점,한식,강원특별자치도 춘천시 동산면 종자리로 148-6
군자타운,일반음식점,한식,강원특별자치도 춘천시 동산면 종자리로 331-21(2층 춘천안식원)
굴뚝,일반음식점,한식,강원특별자치도 춘천시 솟발1길 12(1층 퇴계동)
굴마을춘천강남점,일반음식점,한식,"강원특별자치도 춘천시 충혼길18번길 11(온의동, 1층)"
굴봉산쉼터,일반음식점,한식,강원특별자치도 춘천시 남산면 서백길 200
굴봉산식당,일반음식점,한식,강원특별자치도 춘천시 남산면 서백길 295(1층)
굽네치킨온의퇴계점,일반음식점,한식,"강원특별자치도 춘천시 터미널길 18(온의동, 1층)"
굿모닝푸드,일반음식점,한식,강원특별자치도 춘천시 삭주로 215-1(후평동)
권바우푸드시스템,일반음식점,한식,강원특별자치도 춘천시 솟발1길 4-13(퇴계동)
