업소명,업종,업태,도로명주소
홍대포,일반음식점,한식,강원특별자치도 춘천시 우묵길70번길 9(1층 퇴계동)
홍두깨장칼국수,일반음식점,한식,강원특별자치도 춘천시 춘주로147번길 12-4(1층 퇴계동)
홍두깨해물칼국수,일반음식점,한식,강원특별자치도 춘천시 동면 만천로 86
홍마라탕양꼬치,일반음식점,한식,강원특별자치도 춘천시 충혼길20번길 13(1층 온의동)
홍어짱,일반음식점,한식,강원특별자치도 춘천시 춘주로195번길 3(1층 퇴계동)
홍익돈까스,일반음식점,한식,강원특별자치도 춘천시 새롬공원길5번길 11(석사동)
홍천강다슬기해장국,일반음식점,한식,강원특별자치도 춘천시 스포츠타운길 443-1(삼천동)
홍청다슬기해장국,일반음식점,한식,강원특별자치도 춘천시 퇴계로 95(1층 퇴계동)
화가마순대국,일반음식점,한식,강원특별자치도 춘천시 승지골길13번길 7-6(1층 퇴계동)
화계닭갈비,일반음식점,한식,"강원특별자치도 춘천시 신북읍 신샘밭로 721(1,2동)"
화계춘천닭갈비(火鷄),일반음식점,한식,강원특별자치도 춘천시 춘주로 187(1층 퇴계동)
화덕생선구이청아랑,일반음식점,한식,강원특별자치도 춘천시 동면 만천로 81(1층)
화동손칼국수,일반음식점,한식,강원특별자치도 춘천시 춘천로 205-1(1층 효자동)
화락바베큐치킨 춘천퇴계점,일반음식점,한식,강원특별자치도 춘천시 퇴계로 142(1층 퇴계동)
화롯불,일반음식점,한식,강원특별자치도 춘천시 충열로 166(우두동)
화산해물찜,일반음식점,한식,강원특별자치도 춘천시 스포츠타운길 506(1층 온의동)
화천집,일반음식점,한식,강원특별자치도 춘천시 우석로85번길 19-4(석사동)
활어난전,일반음식점,한식,강원특별자치도 춘천시 후석로 382(1동 후평동)
황가네돈까스,일반음식점,한식,강원특별자치도 춘천시 후석로46번길 24-1(1층 석사동)
황골나루,일반음식점,한식,강원특별자치도 춘천시 남면 충효로 1240
황골막국수,일반음식점,한식,강원특별자치도 춘천시 백령로 217-16(후평동)
황금돼지분식,일반음식점,분식,강원특별자치도 춘천시 공지로 149-1(1층 석사동)
황금보쌈,일반음식점,한식,강원특별자치도 춘천시 후석로 395(1층 후평동)
황금코다리춘천점,일반음식점,한식,강원특별자치도 춘천시 우두6길 5(1층 104호 우두동)
황금한식부페,일반음식점,한식,강원특별자치도 춘천시 충열로 258(우두동)
황소닭갈비본점,일반음식점,한식,강원특별자치도 춘천시 안마산로 34-16(1층 온의동)
황소돌곱창구이,일반음식점,한식,강원특별자치도 춘천시 우석로67번길 17(석사동)
황소돌곱창구이삼천점,일반음식점,한식,강원특별자치도 춘천시 옛경춘로 804(1층 삼천동)
황소한우곰탕,일반음식점,한식,강원특별자치도 춘천시 동면 금촌로 398(1층)
황씨보쌈,일반음식점,한식,강원특별자치도 춘천시 우석로79번길 16-16(석사동)
황태와미꾸리네,일반음식점,한식,강원특별자치도 춘천시 퇴계로69번길 3(1층 퇴계동)
황토숯불닭갈비,일반음식점,한식,강원특별자치도 춘천시 보안길 15(후평동)
황토숯불닭갈비,일반음식점,한식,"강원특별자치도 춘천시 공지로 438(근화동, 1층)"
황토주막,일반음식점,한식,"강원특별자치도 춘천시 백령로75번길 2(효자동, 외1필지.1층)"
황토집,일반음식점,한식,강원특별자치도 춘천시 벌말길 54-1(1층 석사동)
"회,장,메",일반음식점,한식,강원특별자치도 춘천시 화목원길 21(사농동)
회양화로,일반음식점,한식,강원특별자치도 춘천시 우묵길56번길 25-1(1층 퇴계동)
회향,일반음식점,한식,강원특별자치도 춘천시 대양당길 27(1층 후평동)
효당칼국수,일반음식점,한식,강원특별자치도 춘천시 남면 충효로 865
효자누룽지백숙,일반음식점,한식,강원특별자치도 춘천시 효자문길19번길 1-2(1층 효자동)
효자동설렁탕효자점,일반음식점,한식,강원특별자치도 춘천시 남춘로61번길 4(효자동)
효자동해물칼국수,일반음식점,한식,강원특별자치도 춘천시 남춘로51번길 34(효자동)
효자황태구이,일반음식점,한식,"강원특별자치도 춘천시 남춘로51번길 15-1(효자동, 1~2층)"
후니고깃집,일반음식점,한식,강원특별자치도 춘천시 춘주로147번길 19(1층 퇴계동)
후떡볶이,일반음식점,분식,강원특별자치도 춘천시 서부대성로 239(1층 효자동)
후평 김밥나라,일반음식점,분식,강원특별자치도 춘천시 후석로 298(후평동)
후평1번지닭갈비,일반음식점,한식,"강원특별자치도 춘천시 후석로 247(후평동, 후평프라자 201호-206호)"
후평동,일반음식점,한식,강원특별자치도 춘천시 뒷들길 46-1(1동 1층 후평동)
후평칼국수,일반음식점,한식,강원특별자치도 춘천시 춘천로 384(후평동)
훈이꽃게장 춘천점,일반음식점,한식,"강원특별자치도 춘천시 스포츠타운길 432(1층 103,4,5호 삼천동)"
훈이네식당,일반음식점,한식,강원특별자치도 춘천시 우묵길70번길 7(퇴계동)
휴더테이블,일반음식점,한식,강원특별자치도 춘천시 서부대성로44번길 19-1(요선동)
흙고을,일반음식점,한식,강원특별자치도 춘천시 동면 가산로 160-69
흥부곱창,일반음식점,한식,"강원특별자치도 춘천시 퇴계로 75(1층 퇴계동, 우측)"
흥부밥상,일반음식점,한식,강원특별자치도 춘천시 신동면 한치로 988(1층)
흥부왕족발,일반음식점,한식,강원특별자치도 춘천시 삭주로 189(1층 후평동)
흥부찜닭춘천효자점,일반음식점,한식,강원특별자치도 춘천시 둥지길 34(1층 효자동)
흥주선비국밥,일반음식점,한식,강원특별자치도 춘천시 동면 춘천로449번길 24-5(1층)
희야네솥뚜껑삼겹살,일반음식점,한식,강원특별자치도 춘천시 옛경춘로 806(1층 삼천동)
희정장어구이전문가,일반음식점,한식,강원특별자치도 춘천시 시청길 26(조양동)
(신)호감부엌한식.대구뭉티기전문점,일반음식점,한식,강원특별자치도 원주시 웅비2길 6(1층 102호 반곡동)
(재)한솔문화재단카페테라스,일반음식점,한식,강원특별자치도 원주시 지정면 월송리 999-13 박물관
"(주)대현유통치악(하)휴게소놀부부대찌개,봉화산설렁탕",일반음식점,한식,강원특별자치도 원주시 신림면 다리실2길 32(본건물)
(주)미가일,일반음식점,한식,강원특별자치도 원주시 북원로 2852(지상1층 1.2호 태장동)
(주)서원바른장례식장,일반음식점,한식,강원특별자치도 원주시 판부면 치악로 1133(1층)
(주)오키드호텔(오키드하우스),일반음식점,한식,강원특별자치도 원주시 봉화로 26(2층 단계동)
(주)위더스파크밸리레스토랑,일반음식점,한식,강원특별자치도 원주시 소초면 바우실길 281(2층)
(주)위더스파크밸리티하우스,일반음식점,한식,강원특별자치도 원주시 소초면 바우실길 281(1층)
(주)위츠효자동설렁탕오크밸리점,일반음식점,한식,강원특별자치도 원주시 지정면 오크밸리1길 70(빌리지센터 1층)
(주)태승에프앤씨,일반음식점,한식,강원특별자치도 원주시 단구로 354-1(1층 우측상가 일부호 단구동)
(주)항아리보쌈돌돌이김치본점,일반음식점,한식,"강원특별자치도 원주시 서원대로 121-7(단계동,1층)"
1004스넥,일반음식점,분식,강원특별자치도 원주시 문막읍 건등로 62(1층)
103바지락손칼국수와49고기냉면,일반음식점,한식,강원특별자치도 원주시 동부순환로 300(지상1층 행구동)
119닭갈비,일반음식점,한식,"강원특별자치도 원주시 단관길 104-3(단구동, 지상1층)"
123,일반음식점,한식,강원특별자치도 원주시 문막읍 왕건로 33-8(1층)
123돼지부속본점,일반음식점,한식,강원특별자치도 원주시 중앙로 38(인동)
123맛집혁신점,일반음식점,한식,"강원특별자치도 원주시 양지로 66-1(반곡동, 101호)"
16번가먹통,일반음식점,한식,"강원특별자치도 원주시 양지로 16(1층 120,121호 반곡동)"
1978명품관,일반음식점,한식,강원특별자치도 원주시 토지길 31-7(1층 단구동)
1박2일(관설점),일반음식점,한식,강원특별자치도 원주시 라옹정길 53(관설동)
1번지삼겹살,일반음식점,한식,강원특별자치도 원주시 금불2길 10(단계동)
1번지통닭,일반음식점,한식,강원특별자치도 원주시 흥업면 세동길 53
1인자 감자탕 뼈해장국,일반음식점,한식,강원특별자치도 원주시 문막읍 원문로 1627-2(지상1층 1호~4호)
2008명가,일반음식점,한식,강원특별자치도 원주시 천사로 206-2(일산동)
2008명가정문앞점,일반음식점,한식,강원특별자치도 원주시 원일로115번길 11(2층 일산동)
202식당,일반음식점,한식,"강원특별자치도 원주시 혁신로 37-2(반곡동, 중앙타워 202호)"
24시전주명가콩나물국밥,일반음식점,한식,"강원특별자치도 원주시 서원대로 410(지상1층 103호 단구동, 한솔프라자)"
24시해장국,일반음식점,한식,강원특별자치도 원주시 평원로 144(학성동)
30년불멸의닭발(원주점),일반음식점,한식,강원특별자치도 원주시 단구로 67(1층 단계동)
33떡볶이단계점,일반음식점,분식,강원특별자치도 원주시 백간공원길 2(102호 단계동)
33떡볶이봉산점,일반음식점,분식,"강원특별자치도 원주시 행구로 80(1층 103호 봉산동, 삼익아파트상가)"
33떡볶이원주기업도시점,일반음식점,분식,강원특별자치도 원주시 지정면 신지정로 255(231동 112호 이지더원 더 그레이스 아파트)
33떡볶이혁신도시점,일반음식점,분식,강원특별자치도 원주시 건강로 17(스타타워II 1층 101호 반곡동)
3대원주김치만두,일반음식점,한식,강원특별자치도 원주시 행구로 475(1층 행구동)
500도씨화덕생선구이,일반음식점,한식,"강원특별자치도 원주시 행구로 201(1층 108,109호 행구동)"
60계치킨강원원주행구점,일반음식점,한식,강원특별자치도 원주시 영랑길 20-1(원주 행구동 골드클래스 상가동 1층 102호 행구동)
7375와글,일반음식점,한식,강원특별자치도 원주시 무실로 74(지하1층 일산동)
73해안가,일반음식점,한식,"강원특별자치도 원주시 나비허리길 153(관설동, 지상1층)"
87닭강정원주문막점,일반음식점,한식,강원특별자치도 원주시 문막읍 건등로 46-1(1층)
BBQ치킨원주단관점,일반음식점,한식,강원특별자치도 원주시 단관길 110-10(단구동)
가곡리닭갈비막국수,일반음식점,한식,강원특별자치도 원주시 지정면 가곡새말길 59(1층)
가득한돼지국밥,일반음식점,한식,강원특별자치도 원주시 봄마중길 14(1층 101호 반곡동)
가락촌,일반음식점,한식,"강원특별자치도 원주시 천사로 199(일산동,외1필지지하)"
가람숯불장어,일반음식점,한식,강원특별자치도 원주시 판부면 서곡널다리길 20(외1필지)
가리왕산약초백숙,일반음식점,한식,강원특별자치도 원주시 흥업면 북원로 1477-4(지상1층)
가리파쌈밥전문,일반음식점,한식,강원특별자치도 원주시 단관길 202(관설동)
가림,일반음식점,한식,강원특별자치도 원주시 지정면 오크밸리1길 68(한솔오크밸리 사우스콘도 1층)
가마로강정원주기업도시점,일반음식점,한식,강원특별자치도 원주시 지정면 신지정로 322(1층 105호)
가마솥설렁탕,일반음식점,한식,"강원특별자치도 원주시 단구초교길 6-50(단구동,1층)"
가마솥손두부,일반음식점,한식,강원특별자치도 원주시 문막읍 건등로 20-9(지상1층)
가마솥엄나무삼계탕,일반음식점,한식,강원특별자치도 원주시 금불4길 44(단계동)
가마솥황골마당,일반음식점,한식,강원특별자치도 원주시 소초면 황골로 217
가마치통닭봉산점,일반음식점,한식,강원특별자치도 원주시 삼광2길 11-13(지상1층 봉산동)
가보자토종순대국밥,일반음식점,한식,강원특별자치도 원주시 북원로 2235-8(단계동)
가보자토종순대국밥(문막점),일반음식점,한식,강원특별자치도 원주시 문막읍 원문로 1570
가시어멍김밥원주단계점,일반음식점,한식,강원특별자치도 원주시 백간길 17-12(원주봉화산벨라시티2차아파트 상가동 104호 단계동)
가야정,일반음식점,한식,강원특별자치도 원주시 금불1길 12-10(1층 단계동)
가연호프,일반음식점,한식,강원특별자치도 원주시 우산로 38(우산동)
가자가자마차로,일반음식점,한식,"강원특별자치도 원주시 남원로527번길 6-10(명륜동, 단구@상가동,지하1층)"
가장맛있는족발,일반음식점,한식,강원특별자치도 원주시 천사로 65(단계동)
가장맛있는족발원주혁신점,일반음식점,한식,강원특별자치도 원주시 혁신로 35(1층 112호 반곡동)
가츠혼,일반음식점,한식,"강원특별자치도 원주시 시청로 82(무실동,애드피아2차 104호)"
가평잣두부,일반음식점,한식,강원특별자치도 원주시 화실유암길 222(1층 행구동)
가향,일반음식점,한식,강원특별자치도 원주시 중앙동 56-43
간빠이원주무실점,일반음식점,한식,강원특별자치도 원주시 만대로 171(1층 무실동)
간이역(도영점),일반음식점,한식,강원특별자치도 원주시 남원로527번길 8-40(명륜동)
간이역(반곡점),일반음식점,한식,강원특별자치도 원주시 양지로 64-1(102호 반곡동)
간이역기업도시점,일반음식점,한식,강원특별자치도 원주시 지정면 신지정로 325-2(EG-the1 아파트 상가동 421동 110호)
간이역단구역점,일반음식점,한식,강원특별자치도 원주시 송림길 48-1(단구동)
간현돈까스문막점,일반음식점,한식,강원특별자치도 원주시 문막읍 동화택지길 23-5
간현돈까스본점,일반음식점,분식,강원특별자치도 원주시 지정면 간현로 155
간현또바기,일반음식점,한식,강원특별자치도 원주시 지정면 간현로 135(1층)
간현막국수,일반음식점,한식,"강원특별자치도 원주시 지정면 간현로 174(1,2층)"
간현생면가,일반음식점,한식,강원특별자치도 원주시 지정면 간현로 159
갈비랑족발,일반음식점,한식,강원특별자치도 원주시 치악로 1803(남부시장 24호 명륜동)
갈비애정찬,일반음식점,한식,"강원특별자치도 원주시 반곡길 168-2(반곡동, 1층)"
갈비엔갈비,일반음식점,한식,강원특별자치도 원주시 백간공원길 13-1(단계동)
갈비천국,일반음식점,한식,강원특별자치도 원주시 도말리길 73(개운동)
갈비타운,일반음식점,한식,강원특별자치도 원주시 치악로 2067-3(1층 태장동)
갈비타운명륜점,일반음식점,한식,강원특별자치도 원주시 남원로469번길 2-14(1층 명륜동)
갈비토대왕,일반음식점,한식,강원특별자치도 원주시 남원로534번길 52(단구동)
갈촌126,일반음식점,한식,"강원특별자치도 원주시 갈촌길 126(관설동,1층)"
갈촌126원주ak점,일반음식점,한식,강원특별자치도 원주시 봉화로 1(AK플라자 4층 단계동)
감성낙곱새,일반음식점,한식,강원특별자치도 원주시 치악로 2045(성호아파트상가동 1층 107호 태장동)
감악산쉼터,일반음식점,한식,강원특별자치도 원주시 신림면 신림황둔로 712-1
감자네칼국수,일반음식점,한식,강원특별자치도 원주시 치악로 1780(1층 개운동)
감탄계숯불치킨원주단구점,일반음식점,한식,강원특별자치도 원주시 토지길 21(1층 단구동)
갑분땡,일반음식점,한식,강원특별자치도 원주시 단관길 198(1층 일부호 관설동)
갑어촌,일반음식점,한식,강원특별자치도 원주시 소초면 장수1로 309(1동 지상1층)
갑오칼국수,일반음식점,분식,"강원특별자치도 원주시 감영길 20-2(원동,1층)"
강남재벌,일반음식점,한식,"강원특별자치도 원주시 양지로 66-1(4층 401,402,403호 반곡동)"
강남해장국,일반음식점,한식,강원특별자치도 원주시 북원로 2554(우산동)
강다짐삼각김밥원주무실점,일반음식점,분식,강원특별자치도 원주시 능라동길 37(1층 105호 무실동)
강릉얼큰이냉면,일반음식점,한식,강원특별자치도 원주시 남원로527번길 8-42(명륜동)
강릉장칼국수&국밥,일반음식점,한식,강원특별자치도 원주시 동부순환로 313(행구동)
강릉장칼국수&국밥중앙점,일반음식점,한식,"강원특별자치도 원주시 중앙시장길 11(지하1층 31부럭4호 중앙동, 자유시장)"
강변가든,일반음식점,한식,강원특별자치도 원주시 호저면 호저로 628-10
강변스크린골프,일반음식점,분식,강원특별자치도 원주시 늘품로 171(1층 단구동)
강변양푼이동태탕,일반음식점,한식,강원특별자치도 원주시 개운5길 68(1층 단구동)
강변여정,일반음식점,한식,강원특별자치도 원주시 문막읍 석지2길 1
강산에,일반음식점,한식,강원특별자치도 원주시 소초면 구룡사로 108
강산주식회사덤아세,일반음식점,한식,강원특별자치도 원주시 지정면 소금산길 145
강솔마을,일반음식점,한식,강원특별자치도 원주시 판부면 서곡길 161-51(1층)
강여사밥집,일반음식점,한식,강원특별자치도 원주시 문막읍 건등로 10-2(1층)
강원도막국수,일반음식점,한식,"강원특별자치도 원주시 섬밭들1길 34-1(무실동,,1층)"
강원식당,일반음식점,한식,강원특별자치도 원주시 원문로 87(학성동)
강촌,일반음식점,한식,강원특별자치도 원주시 문막읍 건등로 3-1(1층)
강촌나그네,일반음식점,한식,강원특별자치도 원주시 단구로 33(단계동)
강촌돌솥쌈밥,일반음식점,한식,강원특별자치도 원주시 소방서길 7(명륜동)
강풍경스넥바,일반음식점,한식,강원특별자치도 원주시 지정면 소금산길 96(1층)
강호식당,일반음식점,한식,강원특별자치도 원주시 북원로 2821(태장동)
개건너식당,일반음식점,한식,강원특별자치도 원주시 흥업면 북원로 1203-3
개건너이사왔네,일반음식점,한식,강원특별자치도 원주시 흥업면 흥대길 97
개미왕갈비,일반음식점,한식,강원특별자치도 원주시 남원로527번길 89(명륜동)
개성손만두,일반음식점,한식,강원특별자치도 원주시 이화4길 79(1층 단계동)
개성집원주무실점,일반음식점,한식,강원특별자치도 원주시 봉바위길 31(지상1층 무실동)
개운동참숯불구이,일반음식점,한식,강원특별자치도 원주시 치악로 1742(지상1층 개운동)
개운식당,일반음식점,한식,강원특별자치도 원주시 남원로 652(지1층 개운동)
갯골염소탕,일반음식점,한식,강원특별자치도 원주시 도말리길 6(1층 개운동)
거목민박식당,일반음식점,한식,강원특별자치도 원주시 소초면 백교길 28
거복,일반음식점,한식,강원특별자치도 원주시 천매봉길 145(단구동)
거복반곡점,일반음식점,한식,강원특별자치도 원주시 늘품로 201(원주반곡아이파크 110호 반곡동)
거북바위집,일반음식점,한식,강원특별자치도 원주시 판부면 금대길 1(외1필지)
거북이네,일반음식점,한식,강원특별자치도 원주시 시청로 524-5(관설동)
거북이식당,일반음식점,한식,강원특별자치도 원주시 금불4길 19(단계동)
거진항코다리,일반음식점,한식,강원특별자치도 원주시 천사로 23-13(1층 단계동)
건강밥상,일반음식점,한식,강원특별자치도 원주시 문막읍 건등로 24-20(1층)
건등로54,일반음식점,한식,강원특별자치도 원주시 문막읍 건등로 54-1(1층)
건등쌈가,일반음식점,한식,강원특별자치도 원주시 문막읍 동화공단로 184(1층)
게르만,일반음식점,한식,강원특별자치도 원주시 서원대로 439-1(단구동)
게판수산,일반음식점,한식,"강원특별자치도 원주시 만대로 132(1층 59호, 60호 무실동)"
경복궁개성손만두,일반음식점,분식,강원특별자치도 원주시 시청로 51(1층 무실동)
경성꽈배기원주점,일반음식점,한식,강원특별자치도 원주시 봉화로 52(1층 단계동)
경성찹쌀꽈배기,일반음식점,한식,강원특별자치도 원주시 현석길 55(봉산동)
경아네구이,일반음식점,한식,강원특별자치도 원주시 백간공원길 13-5(단계동)
경원식당,일반음식점,한식,강원특별자치도 원주시 북원로 2712(태장동)
경화네생선구이집,일반음식점,한식,강원특별자치도 원주시 봉화로 172(지상1층 단계동)
경회루,일반음식점,한식,강원특별자치도 원주시 소초면 의관리 507
계곡산장,일반음식점,한식,강원특별자치도 원주시 판부면 영원산성길 323
계동치킨,일반음식점,한식,강원특별자치도 원주시 문막읍 왕건로 50
계동치킨,일반음식점,한식,"강원특별자치도 원주시 라옹정길 27(관설동,김경희상가주택1)"
계륵장군,일반음식점,한식,강원특별자치도 원주시 지정면 신지정로 185(1층)
계절식단,일반음식점,한식,강원특별자치도 원주시 치악로 1555-5(1층 관설동)
고가네다온추어탕,일반음식점,한식,강원특별자치도 원주시 문막읍 동화공단로 158(가동 1층)
고가네본가추어탕,일반음식점,한식,강원특별자치도 원주시 치악로 1435(1층 관설동)
고고싱떡볶이,일반음식점,분식,강원특별자치도 원주시 천사로 47(1층 단계동)
고고싱떡볶이기업도시점,일반음식점,분식,강원특별자치도 원주시 지정면 신지정로 123-18(지하1층)
고고싱떡볶이무실점,일반음식점,한식,강원특별자치도 원주시 능라동길 35(1층 106호 무실동)
고고씽떡볶이,일반음식점,분식,강원특별자치도 원주시 단구로 359(1층 단구동)
고기가,일반음식점,한식,강원특별자치도 원주시 봄마중길 7-1(1층 반곡동)
고기궁전,일반음식점,한식,강원특별자치도 원주시 이화5길 31(1층 단계동)
고기극찬(원주점),일반음식점,한식,강원특별자치도 원주시 북원로2485번길 13(1층 우산동)
고기마루,일반음식점,한식,"강원특별자치도 원주시 중앙시장길 6(라동 22호 중앙동,,61 중앙시장1층)"
고기삼촌,일반음식점,한식,"강원특별자치도 원주시 시청로 24(105호, 106호 무실동)"
고기육단,일반음식점,한식,강원특별자치도 원주시 단관길 67-24(1층 단구동)
고기처럼,일반음식점,한식,강원특별자치도 원주시 토지길 13-6(단구동)
고깃집담,일반음식점,한식,"강원특별자치도 원주시 금불3길 17-5(단계동,1층)"
고니골,일반음식점,한식,강원특별자치도 원주시 호저면 호저로 1277-43(1층)
고단식당,일반음식점,한식,강원특별자치도 원주시 신촌길 38(1층 태장동)
고단한식뷔페,일반음식점,한식,강원특별자치도 원주시 신촌길 38(1층 태장동)
고둔치솔가,일반음식점,한식,강원특별자치도 원주시 행구로 519(행구동)
고둔치쉼터,일반음식점,한식,강원특별자치도 원주시 행구로 555(행구동)
고등어와산나물,일반음식점,한식,"강원특별자치도 원주시 중앙시장길 11(지층 3-1,4-1부럭호 중앙동, 자유시장)"
고래만두,일반음식점,한식,강원특별자치도 원주시 행구로 421(지상1층 행구동)
고량진미횡성한우전문점,일반음식점,한식,"강원특별자치도 원주시 지정면 월송석화로 570(2동 1,2층)"
고려원,일반음식점,한식,"강원특별자치도 원주시 행가리1길 14(무실동, 외3필지)"
고려원녹각삼계탕,일반음식점,한식,강원특별자치도 원주시 치악로 1460(단구동)
고려원사랑채,일반음식점,한식,"강원특별자치도 원주시 행가리1길 14(지상1층 무실동, 외3필지 1)"
고모네,일반음식점,분식,강원특별자치도 원주시 흥업면 세동길 10-3
고모네칼국수,일반음식점,한식,강원특별자치도 원주시 흥업면 세동길 10(1층)
고미담,일반음식점,한식,"강원특별자치도 원주시 황금로 5(반곡동, B103호,B104호,B105호)"
고미담기업도시점,일반음식점,한식,강원특별자치도 원주시 지정면 신지정로 175-3(1층)
고박사네,일반음식점,한식,"강원특별자치도 원주시 봉화로 76(지상1층 102호,103호 단계동, 단계삼익아파트 상가)"
고반식당원주무실동점,일반음식점,한식,강원특별자치도 원주시 봉바위길 10(지상1층 무실동)
고봉밥짜글이태장점,일반음식점,한식,"강원특별자치도 원주시 치악로 1964(태장동,외4필지)"
고사리골식당,일반음식점,한식,강원특별자치도 원주시 흥업면 북원로 1213
고산황토오리구이,일반음식점,한식,강원특별자치도 원주시 호저면 병골길 30(외1필지)
고알아식당,일반음식점,한식,강원특별자치도 원주시 양지뜰3길 6(지하1층 반곡동)
고은결김밥,일반음식점,한식,"강원특별자치도 원주시 단구초교길 19(상가동 1층 108호 단구동, 대흥아파트)"
고은이네,일반음식점,한식,강원특별자치도 원주시 중앙로 188(지상1층 학성동)
고인돌,일반음식점,한식,강원특별자치도 원주시 평원로 89-3(학성동)
고인돌냉동삼겹살,일반음식점,한식,"강원특별자치도 원주시 금불2길 4(단계동,1층)"
고창민물장어단계점,일반음식점,한식,강원특별자치도 원주시 서원대로 50(지하1층 단계동)
고향뜰,일반음식점,한식,강원특별자치도 원주시 흥업면 북원로 1340-4
고향마을,일반음식점,한식,강원특별자치도 원주시 소초면 구룡사로 113
고향보리밥,일반음식점,한식,강원특별자치도 원주시 흥업면 남원로 67-2
고향순대,일반음식점,한식,"강원특별자치도 원주시 중앙시장길 11(중앙동,자유시장 지층 9부럭 4호)"
고향식당,일반음식점,한식,강원특별자치도 원주시 소초면 무쇠점1길 22
고향집,일반음식점,한식,강원특별자치도 원주시 소초면 하황골길 12(1층)
고향칼국수,일반음식점,한식,"강원특별자치도 원주시 중앙시장길 11(중앙동,자유시장 지층 30부럭9,10호)"
고향한우촌,일반음식점,한식,강원특별자치도 원주시 흥업면 북원로 1819(1층)
골목 닭갈비,일반음식점,한식,강원특별자치도 원주시 남원로527번길 82-2(명륜동)
골목손두부,일반음식점,한식,강원특별자치도 원주시 북원로 2710-1(1층 태장동)
골목식당더미담,일반음식점,한식,강원특별자치도 원주시 치악로 1651-7(1층 단구동)
골목집,일반음식점,한식,강원특별자치도 원주시 상지대길 72-1(우산동)
골목칼국수,일반음식점,한식,강원특별자치도 원주시 중앙시장길 6(중앙시장 라동 1층 33호 중앙동)
곰식당,일반음식점,한식,"강원특별자치도 원주시 서원대로 410(단구동,한솔프라자1층 109호)"
곰제부도해물칼국수,일반음식점,한식,강원특별자치도 원주시 문막읍 동화리 1180-1 외1필지
곰집,일반음식점,한식,강원특별자치도 원주시 소초면 치악로 2306(지상1층)
곰포차,일반음식점,한식,강원특별자치도 원주시 송림길 48-38(개운동)
곱분이곱창무실점,일반음식점,한식,강원특별자치도 원주시 능라동길 75(1층 103호 무실동)
곱이곱다원주무실점,일반음식점,한식,강원특별자치도 원주시 봉바위길 11(무실동)
곱창에소주한잔,일반음식점,한식,강원특별자치도 원주시 치악로 1512(지상1층 단구동)
곱창에소주한잔(기업점),일반음식점,한식,강원특별자치도 원주시 지정면 신지정로 316-2(1층 118호)
공감비즈(주)라라코스트원주무실,일반음식점,한식,"강원특별자치도 원주시 능라동길 74(지상2층 201.202호 무실동, 센트럴프라자)"
공단자율식당,일반음식점,한식,강원특별자치도 원주시 문막읍 문막공단길 42
공릉닭한마리원주점,일반음식점,한식,강원특별자치도 원주시 지정면 신지정로 191-1(1층)
공릉동멸치국수,일반음식점,한식,"강원특별자치도 원주시 서원대로 392(1층 단구동, 107호)"
공주맛칼국수,일반음식점,한식,강원특별자치도 원주시 북원로 1837(1층 101호 무실동)
공지천닭갈비,일반음식점,한식,강원특별자치도 원주시 남원로534번길 20(단구동)
공지천닭갈비무실점,일반음식점,한식,강원특별자치도 원주시 봉바위길 50(지상1층 무실동)
공지천닭갈비혁신점,일반음식점,한식,강원특별자치도 원주시 반곡동 1874-2 (1층)
과장님댁소곱창,일반음식점,한식,강원특별자치도 원주시 단관길 201(관설동)
곽만근갈비탕원주단구점,일반음식점,한식,강원특별자치도 원주시 서원대로 416-4(단구동)
곽삼메밀전,일반음식점,한식,강원특별자치도 원주시 흥업면 사제로 93(1층)
곽유탐라대구뽈찜탕,일반음식점,한식,강원특별자치도 원주시 토지길 13-11(지상1층 단구동)
관설동기사식당,일반음식점,한식,강원특별자치도 원주시 치악로 1250(관설동)
관우순대,일반음식점,한식,강원특별자치도 원주시 봉바위길 54(1층 무실동)
광격집,일반음식점,한식,강원특별자치도 원주시 호저면 광격리 237-0
광릉불고기,일반음식점,한식,강원특별자치도 원주시 북원로 2577(우산동)
광명손칼국수,일반음식점,분식,강원특별자치도 원주시 구곡길 2-34(단구동)
광명식당,일반음식점,한식,강원특별자치도 원주시 가현로 50(가현동)
광수왕만두,일반음식점,한식,강원특별자치도 원주시 중앙로 13(인동)
광어대리,일반음식점,한식,강원특별자치도 원주시 지정면 신지정로 316-2(109호)
괴강매운탕,일반음식점,한식,강원특별자치도 원주시 오리현길 71-1(반곡동)
교동짬뽕기업도시,일반음식점,분식,강원특별자치도 원주시 지정면 신지정로 205-10
구)아리랑숯불구이,일반음식점,한식,강원특별자치도 원주시 일산로 52-14(원동)
구공냉삼,일반음식점,한식,강원특별자치도 원주시 섬밭들1길 34-5(지상1층 무실동)
구들장,일반음식점,한식,강원특별자치도 원주시 탑두둑길 1(명륜동)
구룡길쉼터,일반음식점,한식,"강원특별자치도 원주시 소초면 상초구길 35-161(1,2동 1층)"
구룡식당,일반음식점,한식,강원특별자치도 원주시 소초면 무쇠점2길 39(1층)
구름공방혁신점,일반음식점,한식,강원특별자치도 원주시 봄마중길 18(1층 반곡동)
구름컴퍼니(GRcompany),일반음식점,한식,강원특별자치도 원주시 이화3길 40-24(단계동)
구쌍다리식당,일반음식점,한식,강원특별자치도 원주시 소초면 무쇠점1길 18
구이구이마을,일반음식점,한식,강원특별자치도 원주시 흥양로18번길 37(태장동)
